status,orderId,open_date,open_price,side,size,sl,tp,fee,order_comment,close_id,close_date,close_price,order_profit,zone,zone_profit
close,1618554514,2021-04-16 06:28:34,0.60079,SHORT,10.0,,,0.0048152,"open:1.02497 sys1:[0.60079,0.60083]| close:1.03503 sys1:[0.60367,0.6038]",1618554704,2021-04-16 06:31:44,0.6038,-0.034915200000000014,1.025,0.007239672000000072
close,1618554598,2021-04-16 06:29:58,1.6411,LONG,3.7,,,0.0048592719999999996,"open:1.03506 sys0:[1.641,1.6411]| close:1.0376 sys0:[1.6414,1.6416]",1618554714,2021-04-16 06:31:54,1.6414,-0.0037492720000002772,1.035,0.007892293999999116
close,1618554598,2021-04-16 06:29:58,0.60581,SHORT,9.9,,,0.004792434,"open:1.03506 sys1:[0.60581,0.60594]| close:1.0376 sys1:[0.604,0.60415]",1618554714,2021-04-16 06:31:54,0.60415,0.011641565999999394,1.035,0.007892293999999116
close,1618554507,2021-04-16 06:28:27,1.6298,LONG,3.7,,,0.00485496,"open:1.02998 sys0:[1.6297,1.6298]| close:1.04619 sys0:[1.652,1.6521]",1618554764,2021-04-16 06:32:44,1.652,0.07728503999999987,1.03,0.008761359999999122
close,1618554481,2021-04-16 06:28:01,1.6534,LONG,3.6,,,0.00475888,"open:1.04499 sys0:[1.6533,1.6534]| close:1.04619 sys0:[1.652,1.6521]",1618554764,2021-04-16 06:32:44,1.652,-0.009798880000000156,1.045,0.008458676800000016
close,1618554507,2021-04-16 06:28:27,0.59955,SHORT,10.0,,,0.00482368,"open:1.02998 sys1:[0.59955,0.59972]| close:1.04619 sys1:[0.60591,0.60592]",1618554764,2021-04-16 06:32:44,0.60592,-0.06852368000000075,1.03,0.008761359999999122
close,1618554481,2021-04-16 06:28:01,0.60825,SHORT,9.9,,,0.0048094432,"open:1.04499 sys1:[0.60825,0.60831]| close:1.04619 sys1:[0.60591,0.60592]",1618554764,2021-04-16 06:32:44,0.60592,0.01825755680000017,1.045,0.008458676800000016
close,1618554863,2021-04-16 06:34:23,1.6452,LONG,3.6,,,0.004752768000000001,"open:1.04004 sys0:[1.6451,1.6452]| close:1.04804 sys0:[1.6547,1.6548]",1618554932,2021-04-16 06:35:32,1.6547,0.02944723200000023,1.04,0.0070223831999999785
close,1618554863,2021-04-16 06:34:23,0.605,SHORT,9.9,,,0.0048028488000000005,"open:1.04004 sys1:[0.605,0.60506]| close:1.04804 sys1:[0.60676,0.60678]",1618554932,2021-04-16 06:35:32,0.60678,-0.02242484880000025,1.04,0.0070223831999999785
close,1618554457,2021-04-16 06:27:37,1.6597,LONG,3.6,,,0.0047845760000000005,"open:1.05004 sys0:[1.6593,1.6597]| close:1.05463 sys0:[1.6629,1.663]",1618554986,2021-04-16 06:36:26,1.6629,0.006735423999999974,1.05,0.009702495999999445
close,1618554816,2021-04-16 06:33:36,1.6516,LONG,3.6,,,0.004774576000000001,"open:1.04502 sys0:[1.6514,1.6516]| close:1.05463 sys0:[1.6629,1.663]",1618554986,2021-04-16 06:36:26,1.6629,0.03590542400000005,1.045,0.010009159999999524
close,1618554457,2021-04-16 06:27:37,0.60919,SHORT,9.8,,,0.004774928000000001,"open:1.05004 sys1:[0.60919,0.60926]| close:1.05463 sys1:[0.60837,0.6084]",1618554986,2021-04-16 06:36:26,0.6084,0.0029670719999994703,1.05,0.009702495999999445
close,1618554816,2021-04-16 06:33:36,0.60627,SHORT,9.9,,,0.004809264000000001,"open:1.04502 sys1:[0.60627,0.60638]| close:1.05463 sys1:[0.60837,0.6084]",1618554986,2021-04-16 06:36:26,0.6084,-0.025896264000000523,1.045,0.010009159999999524
close,1618555016,2021-04-16 06:36:56,1.6586,LONG,3.6,,,0.00478832,"open:1.04997 sys0:[1.6585,1.6586]| close:1.05629 sys0:[1.6655,1.6656]",1618555080,2021-04-16 06:38:00,1.6655,0.02005167999999931,1.05,0.0072097727999993096
close,1618555016,2021-04-16 06:36:56,0.60851,SHORT,9.9,,,0.0048229072000000005,"open:1.04997 sys1:[0.60851,0.60853]| close:1.05629 sys1:[0.60931,0.60932]",1618555080,2021-04-16 06:38:00,0.60932,-0.012841907199999999,1.05,0.0072097727999993096
close,1618555123,2021-04-16 06:38:43,1.6594,LONG,3.6,,,0.004789616,"open:1.05005 sys0:[1.6589,1.6594]| close:1.05703 sys0:[1.6664,1.6665]",1618555204,2021-04-16 06:40:04,1.6664,0.020410384000000777,1.05,0.007270328400001009
close,1618555123,2021-04-16 06:38:43,0.60877,SHORT,9.9,,,0.0048240556,"open:1.05005 sys1:[0.60877,0.60885]| close:1.05703 sys1:[0.60947,0.60961]",1618555204,2021-04-16 06:40:04,0.60961,-0.013140055599999768,1.05,0.007270328400001009
close,1618554428,2021-04-16 06:27:08,1.6653,LONG,3.6,,,0.00481704,"open:1.05505 sys0:[1.6652,1.6653]| close:1.0656 sys0:[1.6785,1.6786]",1618555344,2021-04-16 06:42:24,1.6785,0.04270296000000045,1.055,0.007137490400001535
close,1618554428,2021-04-16 06:27:08,0.60999,SHORT,9.8,,,0.004793469600000001,"open:1.05505 sys1:[0.60999,0.61015]| close:1.0656 sys1:[0.613,0.61313]",1618555344,2021-04-16 06:42:24,0.61313,-0.035565469599998914,1.055,0.007137490400001535
close,1618555741,2021-04-16 06:49:01,1.6667,LONG,3.6,,,0.004813728,"open:1.05497 sys0:[1.6666,1.6667]| close:1.06318 sys0:[1.6762,1.6763]",1618556113,2021-04-16 06:55:13,1.6762,0.029386271999999342,1.055,0.007922802400000335
close,1618555741,2021-04-16 06:49:01,0.61143,SHORT,9.8,,,0.0048034696000000005,"open:1.05497 sys1:[0.61143,0.61163]| close:1.06318 sys1:[0.61312,0.61313]",1618556113,2021-04-16 06:55:13,0.61313,-0.021463469599999008,1.055,0.007922802400000335
close,1618557661,2021-04-16 07:21:01,1.6245,LONG,3.7,,,0.0048211320000000005,"open:1.02004 sys0:[1.6244,1.6245]| close:1.02948 sys0:[1.6359,1.6362]",1618557724,2021-04-16 07:22:04,1.6359,0.03735886800000011,1.02,0.007420138000000659
close,1618557661,2021-04-16 07:21:01,0.60421,SHORT,9.9,,,0.00479273,"open:1.02004 sys1:[0.60421,0.60436]| close:1.02948 sys1:[0.60672,0.60675]",1618557724,2021-04-16 07:22:04,0.60675,-0.02993872999999945,1.02,0.007420138000000659
close,1618557581,2021-04-16 07:19:41,1.6312,LONG,3.7,,,0.004836607999999999,"open:1.02498 sys0:[1.6309,1.6312]| close:1.03256 sys0:[1.6396,1.6397]",1618557732,2021-04-16 07:22:12,1.6396,0.02624339199999933,1.025,0.007381077999998983
close,1618557581,2021-04-16 07:19:41,0.60573,SHORT,9.9,,,0.0048043140000000005,"open:1.02498 sys1:[0.60573,0.60592]| close:1.03256 sys1:[0.60714,0.60715]",1618557732,2021-04-16 07:22:12,0.60715,-0.01886231400000035,1.025,0.007381077999998983
close,1618557408,2021-04-16 07:16:48,1.6365,LONG,3.7,,,0.004849568,"open:1.03003 sys0:[1.6364,1.6365]| close:1.0355 sys0:[1.6416,1.6417]",1618557807,2021-04-16 07:23:27,1.6416,0.01402043199999972,1.03,0.0076355235999994685
close,1618557408,2021-04-16 07:16:48,0.60613,SHORT,9.9,,,0.0048009084,"open:1.03003 sys1:[0.60613,0.60637]| close:1.0355 sys1:[0.6062,0.60629]",1618557807,2021-04-16 07:23:27,0.60629,-0.006384908400000252,1.03,0.0076355235999994685
close,1618556996,2021-04-16 07:09:56,1.6428,LONG,3.7,,,0.004880584,"open:1.03494 sys0:[1.6427,1.6428]| close:1.04522 sys0:[1.6558,1.656]",1618558027,2021-04-16 07:27:07,1.6558,0.04321941599999892,1.035,0.007205291599998234
close,1618556996,2021-04-16 07:09:56,0.60774,SHORT,9.9,,,0.0048291244,"open:1.03494 sys1:[0.60774,0.60776]| close:1.04522 sys1:[0.61078,0.61089]",1618558027,2021-04-16 07:27:07,0.61089,-0.03601412440000069,1.035,0.007205291599998234
close,1618556808,2021-04-16 07:06:48,1.6491,LONG,3.6,,,0.004777104000000001,"open:1.04006 sys0:[1.649,1.6491]| close:1.05665 sys0:[1.6716,1.6717]",1618558271,2021-04-16 07:31:11,1.6716,0.07622289599999951,1.04,0.008313901999999873
close,1618556808,2021-04-16 07:06:48,0.60878,SHORT,9.9,,,0.004845993999999999,"open:1.04006 sys1:[0.60878,0.60894]| close:1.05665 sys1:[0.61505,0.61515]",1618558271,2021-04-16 07:31:11,0.61515,-0.06790899399999964,1.04,0.008313901999999873
close,1618556505,2021-04-16 07:01:45,1.6546,LONG,3.6,,,0.004791424000000001,"open:1.04498 sys0:[1.6545,1.6546]| close:1.05972 sys0:[1.6746,1.6747]",1618558515,2021-04-16 07:35:15,1.6746,0.06720857600000006,1.045,0.007723619200000108
close,1618556505,2021-04-16 07:01:45,0.60946,SHORT,9.8,,,0.004800956800000001,"open:1.04498 sys1:[0.60946,0.60952]| close:1.05972 sys1:[0.61498,0.61504]",1618558515,2021-04-16 07:35:15,0.61504,-0.059484956799999954,1.045,0.007723619200000108
