status,open_id,open_date,open_price,side,size,sl,tp,fee,order_comment,close_id,close_date,close_price,order_profit,zone,zone_profit
close,1617640242,"2021-04-05, 23:30:42",0.503275,sell,11.9,,,0.004795946,close 0.50335,1617640250,"2021-04-05, 23:30:49",0.50335,-0.005688445999999074,0.325,0.03812776200000134
close,1617640382,"2021-04-05, 23:33:02",0.828375,buy,7.2,,,0.004820216,close 0.84385,1617640534,"2021-04-05, 23:35:34",0.843825,0.10641978400000045,0.325,0.003123615000000704
close,1617640382,"2021-04-05, 23:33:02",0.503,sell,11.9,,,0.004823669000000001,close 0.51125,1617640534,"2021-04-05, 23:35:34",0.511275,-0.10329616899999974,0.325,0.003123615000000704
close,1617640531,"2021-04-05, 23:35:31",0.840575,buy,7.1,,,0.004797965,close 0.84825,1617640539,"2021-04-05, 23:35:39",0.847875,0.04703203500000071,0.33,0.032008492000001915
close,1617640531,"2021-04-05, 23:35:31",0.5111,sell,11.7,,,0.004786043,close 0.51195,1617640539,"2021-04-05, 23:35:39",0.511975,-0.01502354299999879,0.33,0.032008492000001915
close,1617640537,"2021-04-05, 23:35:37",0.846425,buy,7.1,,,0.004823088,close 0.8537,1617640594,"2021-04-05, 23:36:34",0.8532,0.0432794120000006,0.335,0.02648630600000075
close,1617640538,"2021-04-05, 23:35:37",0.511925,sell,11.7,,,0.004800606,close 0.512925,1617640594,"2021-04-05, 23:36:34",0.51295,-0.01679310599999985,0.335,0.02648630600000075
close,1617640300,"2021-04-05, 23:31:40",0.84475,buy,7.1,,,0.004875272999999999,close 0.871575,1617640660,"2021-04-05, 23:37:40",0.871575,0.18558222699999993,0.34,0.015905116999999996
close,1617640300,"2021-04-05, 23:31:40",0.5034,sell,11.9,,,0.004862109999999999,close 0.517375,1617640660,"2021-04-05, 23:37:40",0.51725,-0.16967710999999994,0.34,0.015905116999999996
close,1617641065,"2021-04-05, 23:44:24",0.850425,buy,7.1,,,0.0048490519999999995,close 0.855175,1617641088,"2021-04-05, 23:44:48",0.8553,0.029763447999999713,0.33,0.03993742799999951
close,1617641065,"2021-04-05, 23:44:25",0.52,sell,11.5,,,0.004776020000000001,close 0.518675,1617641088,"2021-04-05, 23:44:48",0.5187,0.010173979999999796,0.33,0.03993742799999951
close,1617641385,"2021-04-05, 23:49:45",0.829975,buy,7.2,,,0.004811504,close 0.8402,1617641472,"2021-04-05, 23:51:12",0.8408,0.0731284959999999,0.32,0.006349820000000395
close,1617641385,"2021-04-05, 23:49:45",0.5093,sell,11.8,,,0.004828676,close 0.51425,1617641472,"2021-04-05, 23:51:12",0.51455,-0.06677867599999951,0.32,0.006349820000000395
close,1617641118,"2021-04-05, 23:45:18",0.84325,buy,7.1,,,0.0047839070000000004,close 0.842075,1617641876,"2021-04-05, 23:57:55",0.842925,-0.007091406999999685,0.325,0.09252945799999912
close,1617641118,"2021-04-05, 23:45:18",0.5203,sell,11.5,,,0.004741635000000001,close 0.511125,1617641876,"2021-04-05, 23:57:56",0.511225,0.09962086499999881,0.325,0.09252945799999912
close,1617641935,"2021-04-05, 23:58:55",0.83475,buy,7.2,,,0.004826904,close 0.84195,1617642003,"2021-04-06, 00:00:03",0.842675,0.05223309599999989,0.325,0.030301175999999264
close,1617641936,"2021-04-05, 23:58:55",0.50955,sell,11.8,,,0.00482192,close 0.51085,1617642003,"2021-04-06, 00:00:03",0.511,-0.021931920000000625,0.325,0.030301175999999264
close,1617642395,"2021-04-06, 00:06:35",0.81805,buy,7.3,,,0.004813454,close 0.829975,1617644004,"2021-04-06, 00:33:24",0.82995,0.08205654599999934,0.32,0.0007449459999999963
close,1617642395,"2021-04-06, 00:06:35",0.498125,sell,12.0,,,0.0048116,close 0.5045,1617644004,"2021-04-06, 00:33:24",0.5045,-0.08131159999999935,0.32,0.0007449459999999963
close,1617642148,"2021-04-06, 00:02:28",0.832125,buy,7.2,,,0.00481056,close 0.837,1617644067,"2021-04-06, 00:34:26",0.837,0.03028943999999991,0.325,0.033180176000000866
close,1617642148,"2021-04-06, 00:02:28",0.50685,sell,11.8,,,0.004779264,close 0.506175,1617644067,"2021-04-06, 00:34:27",0.5062,0.0028907360000009538,0.325,0.033180176000000866
close,1617644631,"2021-04-06, 00:43:51",0.8206,buy,7.3,,,0.00481776,close 0.8278,1617645206,"2021-04-06, 00:53:26",0.828,0.049202239999999516,0.32,0.030292760000000404
close,1617644631,"2021-04-06, 00:43:51",0.5008,sell,12.0,,,0.00480948,close 0.50195,1617645206,"2021-04-06, 00:53:26",0.501975,-0.01890947999999911,0.32,0.030292760000000404
close,1617645404,"2021-04-06, 00:56:44",0.8221,buy,7.3,,,0.004844259,close 0.837075,1617645990,"2021-04-06, 01:06:30",0.837075,0.10447324099999951,0.32,0.00237183199999913
